41 50
3 14 .
19 19 :
15 26 .
22 7 :
1 23 .
20 18 :
32 29 %
20 27 :
11 12 :
33 27 %
16 35 :
34 30 .
40 13 .
37 20 %
33 25 %
23 12 :
14 46 :
22 38 :
9 13 :
19 39 :
11 34 :
28 26 :
19 32 :
35 15 -
25 36 .
26 12 :
1 26 :
37 48 %
11 7 :
18 6 :
38 41 *
9 30 :
39 31 %
23 14 :
32 12 %
37 39 %
27 24 :
39 6 #
24 24 :
9 33 :
26 11 .
34 21 %
2 19 :
20 42 :
13 30 :
20 16 :
18 43 :
34 19 .
16 43 :
16 47 :
6 16 :
21 46 :
39 32 %
24 22 :
32 48 %
39 34 .
22 40 :
10 42 :
9 17 :
5 14 :
28 19 .
8 34 :
19 24 .
19 41 :
10 27 :
36 47 %
38 24 .
17 14 :
21 31 .
17 46 :
21 32 .
27 20 :
14 3 .
20 26 :
40 22 :
27 18 :
13 25 :
10 28 :
14 5 :
10 32 :
18 32 :
23 16 :
17 11 :
19 31 :
23 30 :
12 31 :
15 17 :
25 35 .
21 13 :
12 30 :
6 18 :
14 8 :
17 16 :
15 18 :
33 22 %
40 30 %
33 42 %
13 6 :
6 8 :
32 26 %
32 11 :
34 23 %
15 27 .
24 27 :
12 38 :
20 48 :
24 30 :
23 13 :
14 10 :
16 41 :
18 37 :
11 14 :
13 22 .
26 19 :
20 21 :
11 27 :
37 47 #
22 17 :
7 12 :
23 21 :
24 25 :
40 10 %
14 7 :
24 11 .
12 28 :
16 16 .
16 32 :
11 13 :
16 26 :
34 11 :
23 7 .
18 27 :
39 30 %
39 22 %
9 8 :
35 39 %
40 26 %
35 4 =
8 7 :
14 31 :
32 23 -
13 5 :
23 38 :
5 12 .
7 9 :
25 17 :
12 7 :
21 25 :
16 23 :
35 20 %
36 41 %
22 29 :
22 41 :
33 50 +
14 40 :
20 41 :
8 6 :
16 40 :
38 4 %
10 4 :
20 24 :
18 34 :
26 20 :
5 10 :
33 24 %
14 4 :
22 12 :
16 4 :
34 32 +
16 20 :
9 4 :
16 42 :
8 35 :
9 9 :
15 45 :
28 27 .
39 23 %
12 34 :
11 5 :
40 4 %
15 49 .
40 31 %
25 10 :
11 9 :
33 23 %
28 23 :
1 29 :
36 1 %
33 26 %
14 18 :
21 37 :
18 22 .
12 39 :
17 37 :
40 39 %
25 14 :
23 23 :
25 32 .
12 14 :
21 7 :
3 23 .
22 10 :
19 37 :
13 10 :
12 37 :
8 36 :
4 12 :
4 15 :
17 40 :
21 38 :
8 16 :
20 34 :
36 48 %
27 14 .
24 18 :
12 20 :
14 19 :
18 19 :
19 20 :
20 39 :
5 17 :
12 42 :
